facility_id,archetype,archetype_label,asset_criticality,public_accessibility,perimeter_vulnerability,threat_exposure,existing_countermeasures,site_complexity,response_readiness,risk_score,cameras,access_control,guards,lighting,fencing,incident_likelihood
F001,cultural_heritage_site,Cultural / Heritage Site,4.35,4.08,4.25,3.66,1.23,2.72,2.88,75.96,False,False,False,False,False,64.64
F002,cultural_heritage_site,Cultural / Heritage Site,4.76,4.69,3.28,3.26,1.93,4.03,2.77,74.8,False,False,False,False,False,55.89
F003,cultural_heritage_site,Cultural / Heritage Site,4.47,4.65,4.05,3.3,4.1,3.26,2.49,63.11,True,True,True,True,True,36.12
F004,cultural_heritage_site,Cultural / Heritage Site,4.53,4.8,4.13,2.53,2.76,3.57,2.93,69.41,False,True,True,True,False,51.76
F005,cultural_heritage_site,Cultural / Heritage Site,3.47,4.37,3.52,2.55,2.41,4.4,2.28,63.3,False,False,False,False,False,48.87
F006,cultural_heritage_site,Cultural / Heritage Site,4.6,4.36,3.52,3.6,2.47,2.73,2.12,68.17,True,True,False,False,False,53.55
F007,cultural_heritage_site,Cultural / Heritage Site,4.51,4.38,4.07,2.54,2.35,3.27,2.08,67.79,False,True,False,True,False,51.94
F008,cultural_heritage_site,Cultural / Heritage Site,4.15,4.33,3.75,1.82,1.59,2.71,2.2,64.45,False,False,False,False,False,47.72
F009,cultural_heritage_site,Cultural / Heritage Site,3.73,4.42,3.23,2.76,3.19,2.46,3.06,56.71,False,True,False,False,False,39.8
F010,cultural_heritage_site,Cultural / Heritage Site,4.21,5.0,3.66,2.28,2.73,3.63,3.62,67.03,True,True,True,False,True,39.78
F011,cultural_heritage_site,Cultural / Heritage Site,4.01,3.95,4.18,2.84,1.57,2.89,2.99,69.3,True,False,False,False,False,40.15
F012,cultural_heritage_site,Cultural / Heritage Site,4.33,4.17,3.55,2.57,2.5,4.14,2.89,66.7,True,False,True,False,True,48.58
F013,cultural_heritage_site,Cultural / Heritage Site,5.0,4.55,4.39,2.65,1.77,2.92,2.36,74.86,False,False,False,True,False,57.54
F014,cultural_heritage_site,Cultural / Heritage Site,4.12,4.48,3.41,3.31,2.28,2.76,2.03,65.64,False,False,False,False,False,58.09
F015,cultural_heritage_site,Cultural / Heritage Site,4.31,4.34,4.46,3.3,3.68,3.61,2.07,65.14,True,True,False,True,True,52.98
F016,cultural_heritage_site,Cultural / Heritage Site,3.65,4.14,4.19,2.72,2.6,3.4,3.0,63.94,True,True,False,True,False,40.2
F017,cultural_heritage_site,Cultural / Heritage Site,3.59,4.15,3.6,3.64,1.67,3.52,2.51,69.25,False,False,False,False,False,53.07
F018,cultural_heritage_site,Cultural / Heritage Site,4.09,4.6,3.91,2.24,2.66,3.64,4.31,66.95,False,False,False,True,False,47.18
F019,cultural_heritage_site,Cultural / Heritage Site,4.8,4.21,3.41,1.5,2.49,2.86,2.48,61.0,True,False,False,False,False,50.89
F020,cultural_heritage_site,Cultural / Heritage Site,3.56,4.06,4.9,5.0,1.78,3.28,3.0,78.2,False,False,False,False,True,68.59
F021,cultural_heritage_site,Cultural / Heritage Site,4.13,3.95,3.66,2.81,2.76,3.17,3.08,62.7,False,False,False,True,False,39.91
F022,cultural_heritage_site,Cultural / Heritage Site,4.36,4.46,5.0,4.1,2.87,3.04,2.13,73.56,False,True,False,True,False,59.25
F023,cultural_heritage_site,Cultural / Heritage Site,3.64,4.31,3.96,3.04,2.4,3.44,2.65,65.53,False,False,False,True,False,50.24
F024,cultural_heritage_site,Cultural / Heritage Site,4.01,3.8,4.0,4.21,1.53,4.02,2.6,75.74,False,False,False,False,False,76.42
F025,cultural_heritage_site,Cultural / Heritage Site,4.79,4.68,4.85,3.31,3.18,3.32,2.84,73.05,True,False,True,False,False,52.38
F026,cultural_heritage_site,Cultural / Heritage Site,4.79,4.8,4.89,3.51,1.5,3.46,2.1,82.22,False,False,False,False,False,66.77
F027,cultural_heritage_site,Cultural / Heritage Site,3.59,4.23,3.99,3.81,3.03,2.13,2.98,61.96,False,False,False,False,False,49.85
F028,cultural_heritage_site,Cultural / Heritage Site,3.41,5.0,4.02,3.59,2.2,3.99,3.44,72.61,False,False,False,True,True,56.06
F029,cultural_heritage_site,Cultural / Heritage Site,4.39,4.9,3.16,2.91,3.64,3.05,2.31,60.4,False,True,True,False,False,45.08
F030,cultural_heritage_site,Cultural / Heritage Site,4.48,5.0,3.68,1.6,3.72,3.23,2.86,59.0,True,False,True,True,True,38.46
F031,cultural_heritage_site,Cultural / Heritage Site,4.46,4.61,2.95,1.38,2.64,3.22,3.08,59.53,True,False,False,False,True,37.8
F032,cultural_heritage_site,Cultural / Heritage Site,4.47,4.22,3.69,3.14,3.17,3.26,3.11,64.97,True,True,True,False,False,36.74
F033,cultural_heritage_site,Cultural / Heritage Site,3.03,4.23,4.25,2.8,2.74,4.15,3.6,63.62,True,True,True,True,False,45.48
F034,cultural_heritage_site,Cultural / Heritage Site,3.78,4.26,2.91,2.38,2.35,3.98,3.83,62.7,False,True,False,True,False,32.56
F035,cultural_heritage_site,Cultural / Heritage Site,4.66,4.26,3.48,2.25,2.14,3.76,2.69,67.83,False,True,False,True,False,53.49
F036,cultural_heritage_site,Cultural / Heritage Site,4.03,4.95,4.03,2.91,2.84,4.67,4.05,72.28,True,True,False,True,False,51.1
F037,cultural_heritage_site,Cultural / Heritage Site,4.36,4.17,2.85,1.55,1.82,3.22,2.62,61.16,False,False,False,False,False,37.39
F038,cultural_heritage_site,Cultural / Heritage Site,4.29,4.75,3.6,3.74,1.8,3.5,4.36,76.99,False,False,False,False,False,61.75
F039,cultural_heritage_site,Cultural / Heritage Site,3.81,4.67,3.29,3.47,3.36,3.72,2.63,62.7,True,True,True,False,True,32.29
F040,cultural_heritage_site,Cultural / Heritage Site,3.45,5.0,4.34,2.5,1.55,1.72,2.47,66.29,False,False,False,False,False,47.0
F041,cultural_heritage_site,Cultural / Heritage Site,4.25,4.47,4.27,3.24,3.07,3.09,3.34,67.73,False,False,False,False,True,56.75
F042,cultural_heritage_site,Cultural / Heritage Site,3.98,5.0,3.88,3.18,3.7,3.28,2.24,62.62,False,True,True,True,True,48.94
F043,cultural_heritage_site,Cultural / Heritage Site,3.0,4.19,2.79,2.42,2.77,3.39,2.65,53.19,False,True,False,False,True,38.15
F044,cultural_heritage_site,Cultural / Heritage Site,4.48,4.62,5.0,2.94,2.39,3.05,2.18,72.9,True,False,False,True,False,55.35
F045,cultural_heritage_site,Cultural / Heritage Site,4.23,4.19,4.34,3.52,2.49,3.11,3.13,70.58,True,False,True,True,False,55.02
F046,cultural_heritage_site,Cultural / Heritage Site,3.47,5.0,4.55,2.82,2.85,2.05,2.11,62.25,False,False,True,False,False,38.64
F047,cultural_heritage_site,Cultural / Heritage Site,4.32,5.0,3.07,3.17,3.87,2.51,2.03,58.21,False,True,False,True,False,41.3
F048,cultural_heritage_site,Cultural / Heritage Site,3.91,5.0,3.42,2.55,2.98,3.96,3.07,64.53,True,True,True,False,False,46.62
F049,cultural_heritage_site,Cultural / Heritage Site,3.8,3.99,4.23,3.17,2.17,4.37,2.54,69.96,True,False,False,True,False,50.65
F050,cultural_heritage_site,Cultural / Heritage Site,4.88,4.08,2.35,4.13,4.38,3.26,1.64,57.3,True,True,False,True,True,39.8
F051,cultural_heritage_site,Cultural / Heritage Site,3.45,4.78,5.0,3.12,2.36,3.41,3.17,71.31,False,False,False,True,False,64.23
F052,cultural_heritage_site,Cultural / Heritage Site,4.11,5.0,3.14,3.41,2.82,2.98,2.91,65.85,True,False,False,False,False,46.55
F053,cultural_heritage_site,Cultural / Heritage Site,4.16,3.82,2.83,3.34,2.23,1.96,3.27,61.1,False,False,False,True,True,61.63
F054,cultural_heritage_site,Cultural / Heritage Site,4.41,4.66,3.7,3.57,3.04,4.25,2.49,70.33,False,False,False,True,False,60.44
